threshold,precision,recall,f1,f2
0.41,0.08636836628511967,0.8589909443725744,0.15695544261907576,0.30797773654916516
0.42,0.08845475512142179,0.8434670116429496,0.16011787819253437,0.31157411832170506
0.43,0.09032898468519569,0.8240620957309185,0.1628115015974441,0.31397870662460564
0.44,0.09306841948013146,0.8059508408796895,0.16686755055577876,0.3183118741058655
0.45,0.09644430459408433,0.7930142302716688,0.1719736288399495,0.3244072819644369
0.46,0.09973448390308662,0.777490297542044,0.1767907045153699,0.3295678876946698
0.47,0.10319666435024323,0.7684346701164295,0.18195742073824475,0.3356690777576854
0.48,0.10685483870967742,0.7542043984476067,0.1871889548884251,0.3410154422087038
0.49,0.10943833236826868,0.7335058214747736,0.19046019482700705,0.34268101051613686
0.5,0.1141091658084449,0.7166882276843467,0.1968727789623312,0.3485592047313451
0.51,0.11894369271060672,0.705045278137128,0.20354808590102708,0.355095126400834
0.52,0.12209703380087376,0.6869340232858991,0.207340882467786,0.356806880795592
0.53,0.12509126308104163,0.6649417852522639,0.21056943875460876,0.35689487571170675
0.54,0.12986343725843855,0.6520051746442432,0.21658788139235066,0.3613939480854725
0.55,0.13517241379310344,0.6338939197930142,0.22282855843565258,0.3647461664433527
0.56,0.1393491124260355,0.6093143596377749,0.22682398266313508,0.3638751545117429
0.57,0.14115058157812008,0.5808538163001293,0.2271117855336368,0.35788299059461187
0.58,0.14228322731837964,0.5498059508408797,0.22606382978723405,0.3495640730383286
0.59,0.14761734145467575,0.5329883570504528,0.23120089786756454,0.3501614822369539
0.6,0.15219885277246653,0.5148771021992238,0.23494687131050768,0.3486945855966357
0.61,0.15731257681278166,0.49676584734799484,0.238954573739888,0.34700885595517805
0.62,0.16260522817899867,0.47477360931435963,0.24224422442244226,0.34305477659375583
0.63,0.16603235014272122,0.4514877102199224,0.24278260869565219,0.3359645745090489
0.64,0.1699078812691914,0.4294954721862872,0.2434910157682435,0.3289734443123266
0.65,0.17581808097615087,0.41009055627425617,0.24611801242236025,0.32379979570990813
0.66,0.17861409796893668,0.3868046571798189,0.24438087454025337,0.3136802349979018
0.67,0.1821705426356589,0.3648124191461837,0.24299870745368377,0.30387931034482757
0.68,0.18604651162790697,0.34152652005174644,0.24087591240875914,0.29261804477942804
0.69,0.19198149575944487,0.3221216041397154,0.24057971014492754,0.2836637047163363
0.7,0.191757779646762,0.2949547218628719,0.2324159021406728,0.26629292221443585
0.71,0.20169651272384542,0.276843467011643,0.23336968375136313,0.25764507584878404
0.72,0.20557851239669422,0.2574385510996119,0.22860425043078691,0.24507389162561577
0.73,0.2161849710982659,0.24191461836998707,0.22832722832722832,0.23629011877685122
0.74,0.22294654498044328,0.22121604139715395,0.22207792207792207,0.22155998963462034
0.75,0.2341678939617084,0.2056921086675291,0.2190082644628099,0.21081941129673826
0.76,0.24482758620689654,0.18369987063389392,0.2099039172209904,0.19335511982570808
0.77,0.2446183953033268,0.16170763260025872,0.19470404984423675,0.17346655564807104
0.78,0.24475524475524477,0.13583441138421734,0.17470881863560733,0.14910536779324055
0.79,0.23782234957020057,0.1073738680465718,0.14795008912655971,0.12060447544318514
0.8,0.22602739726027396,0.08538163001293661,0.12394366197183099,0.09751773049645389
